,# of training data,m_train,test
32,28.0,0.8929,0.6143
64,56.0,0.9286,0.6815
128,115.0,0.8696,0.7234
256,228.0,0.8553,0.7877
512,462.0,0.8658,0.7986
1024,919.0,0.8433,0.8224
2048,1832.0,0.8122,0.8241
4096,3636.0,0.8177,0.8296
8192,7313.0,0.8307,0.8342
